n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
5,"LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.3950734295129811,0.5603800200750628,-2.169810334055476,1119707.6916726532,1.0,
8,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39484813731851254,0.5604843612447903,0.07224098096289167,901342.9043666857,1.0,
5,"LIVING_AREA, BED_RMS, RES_FLOOR, median_hh_income, INT_COND",16000,4000,0.39472312174465274,0.560542252213927,-0.7979546926416723,990927.7589688563,1.0,
6,"YR_BUILT, LAND_SF, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.39453596795212464,0.5606289063584544,0.44689373599340243,890798.4042934441,1.0,
7,"YR_BUILT, LAND_SF, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.39452133433314274,0.5606356813110535,-0.08959658662339831,939076.0880067397,1.0,
7,"YR_BUILT, LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.39451848430304703,0.5606370007850291,0.3884448480724698,882012.5954818648,1.0,
4,"TT_RMS, RES_FLOOR, median_hh_income, INT_COND",16000,4000,0.3940996981073096,0.560830851833003,-1.1583630552391981,1050067.4654323142,1.0,
7,"YR_BUILT, LIVING_AREA, BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3940984902003225,0.5608314108615797,0.4241002850519806,878718.4915183263,1.0,
8,"YR_BUILT, LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.39409219043699373,0.5608343264311194,-0.8097975586873982,995526.5925721447,1.0,
3,"RES_FLOOR, NUM_PARKING, INT_COND",16000,4000,0.3937774972451651,0.5609799491077283,0.09737535892988614,946510.0419153747,1.0,
6,"LAND_SF, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.3936592125064259,0.5610346749962889,-0.09440493154902652,944013.3116791771,1.0,
5,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.393537656611778,0.5610909087642066,-3.272227305583108,1196670.4334266775,1.0,
7,"LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.39334796026437135,0.5611786541743501,-0.18815562559507648,955461.1923555117,1.0,
5,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.39317045672625595,0.5612607472892912,-3.2322697408957115,1155436.096601282,1.0,
8,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.39317009474793563,0.5612609146873642,0.14539491155483852,884718.781791052,1.0,
8,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.393066156868521,0.5613089790386919,0.07691063183134239,902052.9936872219,1.0,
5,"LIVING_AREA, TT_RMS, RES_FLOOR, median_hh_income, INT_COND",16000,4000,0.39304118900737617,0.561320524399588,-1.1340160427917865,1054020.602282024,1.0,
7,"LIVING_AREA, TT_RMS, RES_FLOOR, median_hh_income, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3930180169050156,0.5613312391732037,-0.1585300038868982,956363.169487027,1.0,
7,"LAND_SF, LIVING_AREA, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.3930136865728131,0.5613332414949148,-0.8377024086472351,1003953.4264780917,1.0,
