n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error,balanced_holdout_score
6,"LU, LIVING_AREA, OVERALL_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7452366278703295,0.3061227220844793,0.7780839698734555,305455.88824205,1.0,,
6,"LIVING_AREA, OVERALL_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7491303991091025,0.30377434392319863,0.7780560451595654,306262.67392003635,1.0,,
6,"LU, LAND_SF, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8195363252326532,0.2576451493290948,0.7761989126225298,261774.43384514967,1.0,,
6,"GROSS_AREA, INT_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7475728340271999,0.3047159011614833,0.7757877491866386,306598.32898041693,1.0,,
5,"LAND_SF, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7936860126667592,0.2754808462322064,0.7746970962117603,266700.76944039384,1.0,,
6,"LAND_SF, INT_COND, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7950669612558365,0.27455734216619837,0.774335506593162,265647.78357801365,1.0,,
6,"LAND_SF, GROSS_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.748521501497196,0.30414277312320204,0.7738145675108932,307312.69006050116,1.0,,
6,"LIVING_AREA, LAND_SF, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7459223539499862,0.3057104615297095,0.7723694754250655,309698.3801778256,1.0,,
5,"LIVING_AREA, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7463428346615495,0.305457392080591,0.7723113029205951,309529.5212780291,1.0,,
6,"LU, GROSS_AREA, INT_COND, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7679110959036707,0.2921825405869573,0.7720487076724327,291563.5437929336,1.0,,
6,"LAND_SF, INT_COND, RES_FLOOR, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.7801065942128523,0.2844023463449549,0.7718205394797969,267866.0441154564,1.0,,
6,"LU, LAND_SF, INT_COND, OVERALL_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.8271925172399262,0.25212060703923445,0.7717903468436681,257972.35069731218,1.0,,
5,"LU, GROSS_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7705227670887327,0.290533940417092,0.770653148841719,289918.6859833602,1.0,,
6,"LU, LAND_SF, GROSS_AREA, INT_COND, neighborhood_walkability, neighborhood_name",55188,13797,0.7705620467540679,0.29050907397566567,0.7703637800405226,289829.91467428725,1.0,,
6,"LIVING_AREA, INT_COND, RES_FLOOR, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7541867573970072,0.30069742564810603,0.7675978776751364,303297.77091224596,1.0,,
5,"GROSS_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7413410191875283,0.30845431720885214,0.7675801723399488,311819.72821414366,1.0,,
6,"LU, GROSS_AREA, INT_COND, YR_BUILT, neighborhood_walkability, neighborhood_name",55188,13797,0.775779634208886,0.28718688331410264,0.7674089570154157,290335.14111772727,1.0,,
6,"GROSS_AREA, OVERALL_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7375418164495109,0.3107113597265891,0.7665483383704005,314050.2186897946,1.0,,
5,"LAND_SF, GROSS_AREA, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7497878203037276,0.30337605194192735,0.7659960424921088,310575.70517144166,1.0,,
